
=== slam_core logger abierto ===
16:09:15 | SlamRunner | INFO | DIAG {"frame_idx": 4, "frame_dt_ms": 51.80668830871582, "fps_inst": 19.302527002710626, "fps_avg": 18.85773441830598, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 1.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 0.9995628151131876, "ekf_yaw": -0.001837313071429314, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 71.75709203414081, "imu_var": 0.00030482591401716723, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 4, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.46467577619663647, "bandit_Q": -0.21582484368262184, "bandit_N": 6, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:15 | SlamRunner | DEBUG | [5] E01_low_matches_or_parallax: matches=800, parallax=1.00px
16:09:15 | SlamRunner | INFO | DIAG {"frame_idx": 5, "frame_dt_ms": 54.506540298461914, "fps_inst": 18.346422182077447, "fps_avg": 18.653209523814567, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 1.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 0.9995628151131876, "ekf_yaw": -0.0018860361629049471, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 72.00627844922305, "imu_var": 0.0002781954858511932, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 5, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.48233788809831823, "bandit_Q": -0.25389813574200704, "bandit_N": 7, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:15 | SlamRunner | DEBUG | [6] E01_low_matches_or_parallax: matches=800, parallax=0.00px
16:09:15 | SlamRunner | INFO | DIAG {"frame_idx": 6, "frame_dt_ms": 53.244829177856445, "fps_inst": 18.781166461435127, "fps_avg": 18.704392298862793, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 0.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 0.9995628151131876, "ekf_yaw": -0.0024081810595952824, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 71.2827471901383, "imu_var": 0.0001642019928739168, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 6, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.4911689440491591, "bandit_Q": -0.28355698678040103, "bandit_N": 8, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:15 | SlamRunner | DEBUG | [7] E01_low_matches_or_parallax: matches=800, parallax=0.00px
16:09:15 | SlamRunner | INFO | DIAG {"frame_idx": 7, "frame_dt_ms": 50.89211463928223, "fps_inst": 19.649409482940356, "fps_avg": 19.082399172493815, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 0.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 0.9995628151131876, "ekf_yaw": -0.00298526614830541, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 72.19536673694526, "imu_var": 0.00017992200867791413, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 7, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.49558447202457956, "bandit_Q": -0.30711559625197643, "bandit_N": 9, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:16 | SlamRunner | DEBUG | [8] E01_low_matches_or_parallax: matches=800, parallax=0.00px
16:09:16 | SlamRunner | INFO | DIAG {"frame_idx": 8, "frame_dt_ms": 53.58433723449707, "fps_inst": 18.662169798308334, "fps_avg": 18.914307422819622, "n_kps": 1600, "n_matches": 800, "parallax_med_px": 0.0, "inliers": 0, "inlier_ratio": 0.0, "trans_mag": 0.0, "total_distance": 0.9995628151131876, "ekf_yaw": -0.002823053339879422, "ekf_bias": 2.116376295859994e-05, "ekf_update": 0, "imu_rate": 70.89264053410707, "imu_var": 0.00017428687671707066, "imu_gated": 0, "is_stationary": 0, "keyframe_added": 0, "vo_fail_count": 8, "vo_reboot": 0, "reason": "E01_low_matches_or_parallax", "orb_mode": "normal", "ratio": 0.7, "ransac_thr": 0.7, "min_par": 1.2, "bandit_ctx": "normal", "bandit_arm": "N0", "bandit_reward": -0.4977922360122898, "bandit_Q": -0.32618326022800775, "bandit_N": 10, "bandit_ucb": Infinity, "cooldown_arm": 1, "cooldown_orb": 1, "arm_changed": 0, "orb_changed": 0}
16:09:16 | SlamRunner | DEBUG | [9] E01_low_matches_or_parallax: matches=800, parallax=1.00px
